[19-Mar-2015 02:01:54 UTC] PHP Notice:  Undefined index: userID in /home/ubuntu/workspace/day-4/final/index.php on line 6
[19-Mar-2015 02:01:54 UTC] PHP Warning:  include(status.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/day-4/final/index.php on line 28
[19-Mar-2015 02:01:54 UTC] PHP Warning:  include(): Failed opening 'status.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/day-4/final/index.php on line 28
[19-Mar-2015 02:02:19 UTC] PHP Warning:  include(status.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/day-4/final/index.php on line 28
[19-Mar-2015 02:02:19 UTC] PHP Warning:  include(): Failed opening 'status.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/day-4/final/index.php on line 28
[19-Mar-2015 02:02:40 UTC] PHP Warning:  include(status.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/day-4/final/index.php on line 25
[19-Mar-2015 02:02:40 UTC] PHP Warning:  include(): Failed opening 'status.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/day-4/final/index.php on line 25
[19-Mar-2015 02:04:34 UTC] PHP Warning:  include(/status.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/day-4/final/index.php on line 25
[19-Mar-2015 02:04:34 UTC] PHP Warning:  include(): Failed opening '/status.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/day-4/final/index.php on line 25
[19-Mar-2015 02:06:52 UTC] PHP Warning:  include(/status.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/day-4/final/index.php on line 28
[19-Mar-2015 02:06:52 UTC] PHP Warning:  include(): Failed opening '/status.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/day-4/final/index.php on line 28
[19-Mar-2015 02:39:31 UTC] PHP Warning:  include_once(/credentials.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/day-4/final/login.php on line 10
[19-Mar-2015 02:39:31 UTC] PHP Warning:  include_once(): Failed opening '/credentials.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/day-4/final/login.php on line 10
[19-Mar-2015 02:39:31 UTC] PHP Notice:  Undefined variable: sql in /home/ubuntu/workspace/day-4/final/login.php on line 11
[19-Mar-2015 03:36:10 UTC] PHP Notice:  Undefined index: email in /home/ubuntu/workspace/day-4/final/login.php on line 16
